time/fps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,train/n_updates,train/disc_loss,train/learning_rate,train/surrogate_reward_std,train/surrogate_reward_mean,train/critic_loss
65,6862.25920769,5729,374,1000.0,374000,-41.8179663848877,363000,0.8001991868019104,0.001,0.03659951731588259,0.4350445984005928,2.390869075655937
65,6873.92578356,5746,375,1000.0,375000,-41.75726378631592,364000,0.7896011412143707,0.001,0.03691183719462361,0.4474617403149605,2.418410218119621
65,6881.120370220002,5768,376,1000.0,376000,-41.97103962707519,365000,0.7512368440628052,0.001,0.039084671979165264,0.4701827228665352,2.40500895857811
65,6886.5659130700005,5789,377,1000.0,377000,-42.190985229492185,366000,0.7771684050559997,0.001,0.03469762547890107,0.4192959895133972,2.5105396565198896
65,6885.597494559999,5804,378,1000.0,378000,-42.067692604064945,367000,0.7958015739917755,0.001,0.03623091874722367,0.42367395949363706,2.4385626803636553
65,6887.54778838,5824,379,1000.0,379000,-42.20548780059814,368000,0.7890647113323211,0.001,0.03379225941339239,0.4175207195878029,2.476578701853752
64,6889.923156059999,5850,380,1000.0,380000,-42.202379814147946,369000,0.7874805271625519,0.001,0.03438062433828455,0.43456219214200975,2.4715736143589018
64,6898.66266107,5873,381,1000.0,381000,-42.41101770019531,370000,0.7893693804740906,0.001,0.03515430209558365,0.442643565684557,2.525778199791908
64,6905.48342053,5895,382,1000.0,382000,-42.375658088684084,371000,0.8061918139457702,0.001,0.03393854418568808,0.43518800818920134,2.5310383620262145
64,6906.04510393,5919,383,1000.0,383000,-42.328171173095704,372000,0.8040156245231629,0.001,0.0348998197483375,0.4227334923446178,2.565103495955467
64,6908.01187836,5942,384,1000.0,384000,-42.5032449798584,373000,0.7832609593868256,0.001,0.03611224170607187,0.4393523575365543,2.5382016463279724
64,6914.435437700001,5958,385,1000.0,385000,-42.45865288543701,374000,0.7908547878265381,0.001,0.033717728326801075,0.4176950696706772,2.433698062300682
64,6912.29479407,5979,386,1000.0,386000,-42.383607818603515,375000,0.8142375409603119,0.001,0.03370285444048583,0.4361129099428654,2.5002021822929383
64,6911.31723872,6001,387,1000.0,387000,-42.459885864257814,376000,0.773069429397583,0.001,0.03369876155117048,0.440119377464056,2.4762490097284315
64,6912.03760172,6027,388,1000.0,388000,-42.57498807525635,377000,0.7860452115535737,0.001,0.03615972732220032,0.4597938279211521,2.532620842576027
64,6909.56393419,6049,389,1000.0,389000,-42.58510299682617,378000,0.8029743015766144,0.001,0.035298118031040986,0.457286635607481,2.5851761815547945
64,6910.01271025,6071,390,1000.0,390000,-42.648077865600584,379000,0.8029823720455169,0.001,0.03674736074888559,0.46295119914412497,2.6369335478544236
64,6913.637908749999,6088,391,1000.0,391000,-42.82840199279785,380000,0.8253272414207459,0.001,0.03692018101056432,0.45681618681550024,2.6350333280563354
64,6917.026947499999,6103,392,1000.0,392000,-42.78056468963623,381000,0.8152791798114777,0.001,0.034990148247062966,0.4550323365330696,2.5511059666872025
64,6918.40718216,6121,393,1000.0,393000,-43.01940821075439,382000,0.8327482759952545,0.001,0.03560663496290241,0.46634609952569006,2.5908497455120085
64,6917.892445220001,6140,394,1000.0,394000,-42.996037742614746,383000,0.818915069103241,0.001,0.03782772742924045,0.4596208997964859,2.6153322063684463
64,6919.746674220001,6161,395,1000.0,395000,-42.8427154006958,384000,0.8071099579334259,0.001,0.03330503349905891,0.42728632429242136,2.5829609043598176
64,6921.452627180001,6180,396,1000.0,396000,-43.040611305236816,385000,0.8182912826538086,0.001,0.036301645292691136,0.46292978623509407,2.543213255882263
64,6926.72450434,6201,397,1000.0,397000,-42.88462253570557,386000,0.816826194524765,0.001,0.031480106345104925,0.40966845843195915,2.5160269988775252
64,6929.183953090001,6216,398,1000.0,398000,-42.96145196533203,387000,0.8413690805435181,0.001,0.034340294144879116,0.45065556356310843,2.469656084895134
64,6930.101984540001,6227,399,1000.0,399000,-42.902890998840334,388000,0.8467625737190246,0.001,0.033230928912794555,0.42149385768175124,2.3873240419626236
64,6931.518805729999,6243,400,1000.0,400000,-42.86757731628418,389000,0.8281006515026093,0.001,0.035297092639849766,0.47043011370301246,2.440169566988945
64,6933.357540539998,6261,401,1000.0,401000,-42.96359886932373,390000,0.8115606844425202,0.001,0.038464783232196514,0.4778105218708515,2.3483113867044447
64,6937.57398824,6279,402,1000.0,402000,-42.94278410339356,391000,0.8444331407546997,0.001,0.034738607525753556,0.4625966204404831,2.408590193748474
64,6943.81824043,6292,403,1000.0,403000,-43.10572402191162,392000,0.8262988865375519,0.001,0.036033826954524874,0.46868462273478506,2.468800545692444
64,6943.81840388,6308,404,1000.0,404000,-43.01114105987549,393000,0.8414309620857239,0.001,0.03241910261078851,0.44769968488812445,2.4601122179031374
64,6946.601715809999,6323,405,1000.0,405000,-43.04141045379639,394000,0.8654536306858063,0.001,0.033940346079069705,0.45373870617151263,2.4521517122983933
64,6947.72020984,6341,406,1000.0,406000,-42.99344529724121,395000,0.8598359167575836,0.001,0.03491114342193135,0.45600648564100266,2.4494688490629195
63,6950.58339023,6364,407,1000.0,407000,-43.07936407470703,396000,0.8204798936843872,0.001,0.03623572979701723,0.4873705125749111,2.4685928567647935
63,6956.590893680001,6384,408,1000.0,408000,-42.944303649902345,397000,0.8560401320457458,0.001,0.03568995743726169,0.4644473992288113,2.444257264852524
63,6954.852316029999,6409,409,1000.0,409000,-43.01262341308594,398000,0.8559510886669159,0.001,0.036636895879385206,0.4596622362434864,2.436973016619682
63,6956.8606923199995,6431,410,1000.0,410000,-43.22350611877442,399000,0.8331997394561768,0.001,0.03507163385167,0.4854083319604397,2.4408651090860367
63,6960.37396358,6454,411,1000.0,411000,-42.976117324829104,400000,0.8602357506752014,0.001,0.0347392384697834,0.494249363809824,2.458559546709061
63,6962.58265927,6473,412,1000.0,412000,-43.02704133605957,401000,0.866912716627121,0.001,0.03183217559697125,0.43526211750507354,2.3844911484718323
63,6965.55400093,6496,413,1000.0,413000,-43.01410203552246,402000,0.8564892411231995,0.001,0.03387122173361966,0.4592817415893078,2.349547938704491
63,6967.1343638399985,6521,414,1000.0,414000,-42.91163070678711,403000,0.8618878781795501,0.001,0.0339409514471323,0.47253876402974127,2.35846220934391
63,6967.43359518,6544,415,1000.0,415000,-42.96563052368164,404000,0.8479232251644134,0.001,0.03291269946534553,0.4485459360182285,2.3395461002588274
63,6967.458107860001,6570,416,1000.0,416000,-42.910063774108885,405000,0.8472378194332123,0.001,0.034294797241686215,0.474918222784996,2.3534084037542344
63,6972.301579780001,6593,417,1000.0,417000,-42.844374473571776,406000,0.8579261004924774,0.001,0.03432846014364585,0.46867002299427984,2.2849761716127395
63,6972.9359320600015,6615,418,1000.0,418000,-42.8394112701416,407000,0.8581295430660247,0.001,0.03346460052600704,0.4674254254102707,2.307072158098221
63,6977.585869580002,6637,419,1000.0,419000,-42.9151291809082,408000,0.8576967358589173,0.001,0.032969536019909554,0.46538115686178205,2.2375843435525895
63,6979.170790890002,6661,420,1000.0,420000,-42.92837068176269,409000,0.8456509232521057,0.001,0.03540961285468783,0.4919916509985924,2.298808866739273
62,6983.71922242,6684,421,1000.0,421000,-42.875991119384764,410000,0.8616265714168548,0.001,0.03351220607902465,0.4617933591604233,2.1671144307851793
62,6991.331345689999,6707,422,1000.0,422000,-42.747543197631835,411000,0.8691647946834564,0.001,0.03269519084952358,0.4370131958723068,2.203299360156059
